Sylvia Garcia,RepSylviaGarcia
Eddie Bernice Johnson,RepEBJ
John Carter,JudgeCarter
Colin Allred,RepColinAllred
Marc Veasey,RepVeasey
Filemon Vela,RepFilemonVela
Lloyd Doggett,RepLloydDoggett
Brian Babin,RepBrianBabin
Blake Moore,RepBlakeMoore
Chris Stewart,RepChrisStewart
John Curtis,RepJohnCurtis
Burgess Owens,RepBurgessOwens
Peter Welch,PeterWelch
Stacey Plaskett,StaceyPlaskett
Robert J. Wittman,RobWittman
Elaine Luria,RepElaineLuria
Robert C. Scott,BobbyScott
Aston Donald McEachin,RepMcEachin
Bob Good,RepBobGood
Benjamin Lee Cline,RepBenCline
Abigail Spanberger,RepSpanberger
Donald Sternoff Beyer Jr.,RepDonBeyer
H. Morgan Griffith,RepMGriffith
Jennifer Wexton,RepWexton
Gerald Edward Connolly,GerryConnolly
Suzan DelBene,RepDelBene
Rick Larsen,RepRickLarsen
Jaime Herrera Beutler,HerreraBeutler
Dan Newhouse,RepNewhouse
Cathy McMorris Rodgers,cathymcmorris
Derek Kilmer,RepDerekKilmer
Pramila Jayapal,RepJayapal
Kim Schrier,RepKimSchrier
D. Adam Smith,RepAdamSmith
Marilyn Strickland,RepStricklandWA
David McKinley,RepMcKinley
Alexander Mooney,RepAlexMooney
Carol Miller,RepCarolMiller
Bryan Steil,RepBryanSteil
Mark Pocan,repmarkpocan
Ronald James Kind,RepRonKind
Gwen Moore,RepGwenMoore
Scott Fitzgerald,RepFitzgerald
Glenn Grothman,RepGrothman
Tom Tiffany,RepTiffany
Mike Gallagher,RepGallagher
Liz Cheney,RepLizCheney
Roberto Lefranc Fortuño,LefrancFortuno
María Meléndez Altieri,mayita_melendez
Ricardo Rosselló,ricardorossello
Elizabeth Torres Rodriguez,LaPremisaEli
